Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
3/1/2020,FTISLAND,Sunrise Yellow,,,https://youtu.be/SYMZf2DgRdg,Boy,Japanese
2/29/2020,Chungha,Everybody Has,솔직히 지친다,,https://youtu.be/-4sq1sUI7-I,Girl,Special
2/28/2020,BTS,ON,온,,https://youtu.be/mPVDGOVjRQ0,Boy,Major
2/28/2020,Lim Kim,Mong,,,https://youtu.be/XYNfqKJr538,Girl Solo,Major
2/27/2020,SF9,Good Guy -Japanese ver.-,,,https://youtu.be/LswOtwkLEAI,Boy,Japanese
2/27/2020,MCND,Ice Age,,,https://youtu.be/XpIG9dq1PQw,Boy,Major
2/26/2020,ELRIS,Jackpot,,August Frogs,https://youtu.be/iPAIlZM1VUU,Girl,Major
2/24/2020,AleXa,A.I Trooper,,,https://youtu.be/LGt-Dmnjk-s,Girl Solo,Minor
2/24/2020,Ravi,ROCKSTAR (Feat. Paloalto),,,https://youtu.be/OZw8s1wVUtU,Boy Solo,Major
2/23/2020,Spectrum,Showtime,,,https://youtu.be/13ktxoI5E-M,Boy,Major
2/22/2020,UNVS,Timeless,,,https://youtu.be/MEtQXrElVy0,Boy,Major
2/21/2020,BTS,ON (Kinetic Manifesto Film : Come Prima),온,Lumpens,https://youtu.be/gwMa6gpoE9I,Boy,Major
2/21/2020,ELRIS,This is me (Dance Ver.),,,https://youtu.be/9uhUmjANdQA,Girl,Minor
2/21/2020,Moon,Woo,,,https://youtu.be/WDrcvug1xZs,Girl Solo,Major
2/21/2020,3YE,Queen,퀸,,https://youtu.be/HWOtN5B8PnU,Girl,Major
2/20/2020,Weki Meki,Dazzle Dazzle,대즐대즐,,https://youtu.be/RTeOt6n90vM,Girl,Major
2/20/2020,AB6IX,More (Kim Donghyun),더 더,,https://youtu.be/VRhO5svfMTI,Boy,Special
2/18/2020,Dreamcatcher,Scream,,,https://youtu.be/FKlGHHhTOsQ,Girl,Major
2/18/2020,HighSchool,Timing,타이밍,,https://youtu.be/fC9LIVFPB6s,Girl,Major
2/17/2020,IZ*One,Fiesta,,Rigend Film,https://youtu.be/eDEFolvLn0A,Girl,Major
2/13/2020,AB6IX,Moondance (Jeon Woong),,,https://youtu.be/8guHZbcOe0U,Boy,Special
2/12/2020,Sumin+Zion.T,Dirty Love,더럽게,,https://youtu.be/BvF9ri_AltA,Special,Major
2/12/2020,BLACK6IX,Call My Name,,,https://youtu.be/VJq4UMLtYaU,Boy,Major
2/12/2020,KARD,Red Moon,,ZANYBROS,https://youtu.be/ZAEqQPAEkug,Co-ed,Major
2/11/2020,AlphaBAT,Again,불러본다,,https://youtu.be/Nux-2AI-IK8,Boy,Special
2/11/2020,Pentagon,Dr. Bebe,Dr. 베베,ZANYBROS,https://youtu.be/eMIBLloecRI,Boy,Major
2/11/2020,Cherry Bullet,Hands Up,무릎을 탁 치고,,https://youtu.be/FFSHUWCDK8Q,Girl,Major
2/10/2020,Rocket Punch,Bouncy,바운시,ZANYBROS,https://youtu.be/QqggrSpICM0,Girl,Major
2/9/2020,The Boyz,Reveal,,,https://youtu.be/EZntLk9bTUw,Boy,Major
2/8/2020,Sunmi,Gotta Go,가라고,,https://youtu.be/fN-YPbbGUoE,Girl Solo,OST
2/6/2020,iKON,Dive,뛰어들게,,https://youtu.be/brP5M0o4hi8,Boy,Major
2/6/2020,BVNDIT,Cool,,,https://youtu.be/LWQ5zNi_9r8,Girl,Special
2/5/2020,Loona,So What,,Digipedi,https://youtu.be/GEo5bmUKFvI,Girl,Major
2/5/2020,SAAY,Winter feat. WOO,,,https://youtu.be/XFdPF5gyjTc,Girl Solo,Major
2/4/2020,Mamamoo,HIP -Japanese ver.-,,,https://youtu.be/yc10BuFih2U,Girl,Japanese
2/3/2020,cignature,Nun Nu Nan Na,눈누난나,,https://youtu.be/WM9DCnxXstI,Girl,Major
2/3/2020,DKB,Sorry Mama,미안해 엄마,,https://youtu.be/0VngyLZ0hQI,Boy,Major
