Song Name,Artist,NOV Lower (M),NOV Higher (M),Real View (M),Percent Real Views,matches
Summer Breeze,SF9,29.0,33.0,49.0,100.0,False
How You Like That,Blackpink,29.0,29.0,"1,198.4",99.6,False
Left & right,Seventeen,29.0,29.0,94.9,86.3,False
God's menu,Stray,29.0,29.0,366.3,93.1,False
Butterfly,WJSN,1.0,5.0,23.2,95.9,True
More & More,Twice,1.0,1.0,301.7,89.9,True
BAZOOKA!,GWSN,1.0,1.0,20.5,77.4,False
NONSTOP,Oh,1.0,1.0,69.4,77.6,False
Remember,Winner,1.0,1.0,10.8,41.9,True
Oh my god,(G)Idle,1.0,1.0,166.5,84.7,False
Wannabe,ITZY,25.0,77.0,473.4,95.0,True
Hands up,Cherry,2.0,6.0,13.3,86.9,False
Reveal,The,2.0,2.0,21.7,78.3,True
So what,LOONA,2.0,2.0,24.8,73.4,False
Dun Dun,Everglow,2.0,2.0,236.9,85.6,True
Wonderland,ATEEZ,9.0,17.0,110.2,92.4,True
Pinky Star (RUN),GWSN,3.0,11.0,18.1,85.7,True
Dalla dalla,ITZY,3.0,3.0,305.5,96.8,False
